date,open,high,low,close,volume_btc,sma20,sma50,sma200,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_pctb,bb_width,obv
2017-11-30,6434.24,11395.0,5555.55,9947.67,486006.569143,2174.68,1121.8616,,4081.357243,2513.413782,94.164305,1567.943461,779.121215,788.822246,2174.68,6985.417133,-2636.057133,1.307879,4.424317,3649249.780467
2017-12-31,9927.29,19666.0,9370.11,13880.0,562151.768546,2846.2615,1395.3908,,5588.840744,3355.383132,96.01187,2233.457613,1069.988495,1163.469118,2846.2615,9784.991855,-4092.468855,1.295083,4.87568,4211401.549013
2018-01-31,13880.0,17234.99,9222.0,10149.0,465109.102368,3327.1195,1575.9804,,6290.403707,3858.614011,72.544205,2431.789696,1342.348735,1089.440961,3327.1195,10864.743118,-4210.504118,0.952522,4.531021,3746292.446645
2018-02-28,10148.99,11780.0,5920.72,10314.9,579571.229446,3809.467,1767.6384,,6909.556983,4336.857417,72.861842,2572.699565,1588.418901,984.280664,3809.467,11824.247855,-4205.313855,0.90584,4.207823,4325863.676091
2018-03-31,10314.99,11688.0,6550.0,6928.62,477982.469528,4124.7065,1890.1508,,6912.489755,4528.839831,58.089322,2383.649924,1747.465106,636.184818,4124.7065,12109.40279,-3859.98979,0.67558,3.871643,3847881.206563
2018-04-30,6926.5,9755.53,6427.16,9242.17,382811.764112,4558.2775,2063.9564,,7270.9021,4877.975399,63.529759,2392.926701,1876.557425,516.369276,4558.2775,12664.756685,-3548.201685,0.788898,3.556817,4230692.970675
2018-05-31,9243.51,9948.98,7026.9,7492.28,315321.984573,4902.48,2204.7054,,7304.960239,5071.627592,57.454691,2233.332647,1947.912469,285.420178,4902.48,12892.611564,-3087.651564,0.662062,3.259628,3915370.986102
2018-06-30,7492.28,7790.69,5774.72,6385.71,244694.832988,5186.915,2323.4426,,7163.537125,5168.967029,53.941895,1994.570096,1957.243994,37.326101,5186.915,12960.034579,-2586.204579,0.577112,2.997203,3670676.153114
2018-07-31,6385.75,8496.96,6072.0,7725.43,243006.752409,5536.0835,2465.3952,,7249.982183,5358.334657,57.342402,1891.647526,1944.124701,-52.477175,5536.0835,13103.855822,-2031.688822,0.644649,2.733981,3913682.905523
2018-08-31,7726.85,7761.56,5880.0,7017.35,239931.276516,5838.636,2592.92,,7214.192616,5481.224682,55.029864,1732.967934,1901.893347,-168.925413,5838.636,13130.225107,-1452.953107,0.580827,2.497703,3673751.629008
2018-09-30,7015.78,7411.85,6094.38,6597.81,162012.535221,6120.327,2713.2354,,7119.364521,5563.934706,53.649311,1555.429816,1832.600641,-277.170825,6120.327,13063.864047,-823.210047,0.534383,2.269009,3511739.093786
2018-10-31,6597.79,6756.0,6055.28,6303.27,117891.492409,6375.93,2829.72,,6993.811518,5618.700283,52.650659,1375.111235,1741.10276,-365.991525,6375.93,12940.899909,-189.039909,0.494466,2.059298,3393847.601377
2018-11-30,6304.5,6544.0,3474.73,3971.06,344685.170048,6520.9675,2901.3194,,6528.772823,5496.652855,45.438262,1032.119968,1599.306201,-567.186233,6520.9675,12729.143208,312.791792,0.294633,1.904066,3049162.43133
2018-12-31,3970.56,4265.0,3122.28,3693.3,359308.399957,6638.122,2968.4256,,6092.546235,5363.071162,44.653713,729.475073,1425.339976,-695.864903,6638.122,12532.045904,744.198096,0.250182,1.775781,2689854.031373
2019-01-31,3693.85,4112.0,3322.19,3413.11,206445.3634,6693.877,3029.1476,,5680.325276,5218.629594,43.83156,461.695681,1232.611117,-770.915436,6693.877,12441.80972,945.94428,0.214613,1.71737,2483408.667973
2019-02-28,3413.69,4190.0,3328.7,3791.36,203472.219515,6760.1705,3098.5548,,5389.715233,5112.905921,45.295848,276.809313,1041.450756,-764.641443,6760.1705,12339.61679,1180.72421,0.233951,1.650682,2686880.887488
2019-03-31,3791.02,4130.36,3670.0,4096.08,163724.462587,6822.184,3176.1384,,5190.694428,5037.585482,46.505745,153.108946,863.782394,-710.673448,6822.184,12252.239954,1392.128046,0.24898,1.591882,2850605.350076
2019-04-30,4092.02,5627.0,4052.56,5269.0,294950.48011,6848.921,3276.449,,5202.741439,5054.727298,50.998278,148.014141,720.628743,-572.614602,6848.921,12242.735882,1455.106118,0.353543,1.575085,3145555.830186
2019-05-31,5267.86,9096.79,5263.03,8547.2,370222.030697,7059.9765,3442.5082,,5717.273525,5313.42898,60.885488,403.844546,657.271904,-253.427358,7059.9765,12372.128262,1747.824738,0.639983,1.504864,3515777.860883
2019-06-30,8545.8,13880.0,7432.84,10760.1,335853.843586,7276.271,3652.9862,,6493.092983,5716.886092,65.88893,776.206891,681.058901,95.147989,7276.271,12816.279045,1736.262955,0.814425,1.52276,3851631.704468
2019-07-31,10759.24,13200.0,9049.54,10085.34,369569.787227,7283.1545,3850.1148,,7045.74637,6040.475271,63.232822,1005.2711,745.901341,259.369759,7283.1545,12836.747825,1729.561175,0.752286,1.525052,3482061.917241
2019-08-31,10096.01,12325.0,9320.0,9594.15,249467.42825,7068.862,4036.7478,,7437.808467,6303.710436,61.295738,1134.098031,823.540679,310.557352,7068.862,11867.109559,2270.614441,0.763147,1.357573,3232594.488992
2019-09-30,9593.5,10949.0,7714.7,8298.45,212650.567209,6976.3345,4197.0302,,7570.214857,6451.468922,56.388512,1118.745935,882.58173,236.164205,6976.3345,11601.684389,2350.984611,0.642921,1.326012,3019943.921782
2019-10-31,8304.47,10350.0,7293.55,9150.07,273236.870619,6918.093,4375.4344,,7813.269494,6651.365298,58.72732,1161.904196,938.446223,223.457973,6918.093,11400.962014,2435.223986,0.748945,1.295984,3293180.792402
2019-11-30,9158.08,9586.5,6515.0,7550.67,186160.33899,6949.1955,4521.7238,,7772.869572,6717.980461,52.980762,1054.889111,961.734801,93.15431,6949.1955,11440.548715,2457.842285,0.566959,1.292625,3107020.453412
2019-12-31,7560.2,7772.71,6425.0,7168.36,128846.736338,6845.505,4658.8874,,7679.868099,6751.341909,51.67902,928.526191,955.093079,-26.566888,6845.505,11214.407268,2476.602732,0.536949,1.27643,2978173.717074
2020-01-31,7160.69,9570.0,6853.53,9327.85,202673.22102,6937.2835,4837.9102,,7933.403776,6942.19436,57.962044,991.209417,962.316346,28.89307,6937.2835,11431.986784,2442.580216,0.765932,1.295811,3180846.938094
2020-02-29,9339.26,10500.5,8421.49,8527.74,170506.750166,7044.385,4999.8472,,8024.840119,7059.642185,55.103184,965.197933,962.892664,2.30527,7044.385,11583.276759,2505.493241,0.663405,1.288655,3010340.187928
2020-03-31,8525.0,9219.13,3850.0,6421.14,481768.078148,6979.1705,5120.9002,,7778.117023,7012.345727,48.342436,765.771296,923.46839,-157.697094,6979.1705,11514.525953,2443.815047,0.43848,1.299683,2528572.10978
2020-04-30,6428.74,9485.26,6137.71,8627.32,292048.026008,7059.669,5284.742,,7908.763635,7131.973451,54.621714,776.790184,894.132749,-117.342565,7059.669,11651.674757,2467.663243,0.670693,1.300912,2820620.135788
2020-05-31,8629.72,10074.0,8109.0,9446.19,388441.178283,7202.088,5465.3726,,8145.290768,7303.396899,56.724414,841.893869,883.684973,-41.791104,7202.088,11903.345059,2500.830941,0.73867,1.305526,3209061.31407
2020-06-30,9444.61,10429.26,8830.63,9132.96,209683.156377,7343.5725,5639.0644,,8297.239881,7438.920092,55.661934,858.319789,878.611936,-20.292147,7343.5725,12098.130845,2589.014155,0.688176,1.29489,2999378.157693
2020-07-31,9136.89,11457.95,8905.0,11356.74,197359.837518,7712.8565,5855.5624,,8767.932207,7729.128974,61.216061,1038.803233,910.650196,128.153037,7712.8565,12509.384091,2916.328909,0.879846,1.243775,3196737.995211
